"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_id","victima_identificada_provincia_origen_id","denunciado_provincia_id","victimas_estimadas_provincia_hecho_id"
"2019-11-19","Nueva","no","Sí","No es Víctima","Femenino","NS/NC","Córdoba","Femenino","NS/NC","NO","NO","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","6","Femenino","NS/NC","Córdoba","Traslado de personas","Línea 145","NS/NC","Gendarmería y Protex","2019-11-19","14","","","14"
"2019-11-19","Ampliatoria","no","Sí","No es Víctima","Femenino","NS/NC","Córdoba","Femenino","20","NO","NO","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","6","Femenino","NS/NC","Córdoba","Traslado de personas","Línea 145","NS/NC","Gendarmería y Protex","2019-11-19","14","","","14"
"2019-11-19","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Neuquén","Femenino","NS/NC","NO","NO","Neuquén","Otros Países","Femenino","NS/NC","Neuquén","NO","NO","2","Femenino","NS/NC","Neuquén","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-19","58","58","58","58"
"2019-11-19","Ampliatoria","No","Sí","No es Víctima","Femenino","NS/NC","Neuquén","Femenino","NS/NC","NO","NO","Neuquén","Otros Países","Femenino","NS/NC","Neuquén","NO","NO","2","Femenino","NS/NC","Neuquén","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-19","58","58","58","58"
"2019-11-20","Nueva","No","No","Víctima Indirecta","Femenino","NS/NC","Chaco","Masculino","NS/NC","No","No","Chaco","Argentina","Masculino","NS/NC","Chaco","Sí","No","NS/NC","NS/NC","NS/NC","Chaco","Ofrecimiento","Línea 145","NS/NC","Area Legal para judicializar","2019-11-20","22","22","22","22"
"2019-11-20","Relacionada","No","No","No es Víctima","Femenino","NS/NC","Río Negro","Femenino","NS/NC","No","No","Río Negro","NS/NC","NS/NC","NS/NC","Río Negro","No","No","NS/NC","NS/NC","NS/NC","Río Negro","Posible captación","Línea 145","NS/NC","Protex ","2019-11-20","62","62","62","62"
"2019-11-20","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","Buenos Aires","No","No","4","NS/NC","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","Internet","Protex ","2019-11-20","06","","06","06"
"2019-11-20","Ampliatoria","No","No","Víctima Directa","Femenino","NS/NC","CABA","Femenino","20","No","Sí","CABA","Argentina","Femenino","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","CABA","Oferta Laboral Engañosa","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-11-20","02","02","","02"
"2019-11-20","Ampliatoria","No","No","No es Víctima","Femenino","54","Buenos Aires","Femenino","13","No","No","Chaco","Argentina","Femenino","43","Chaco","No","No","1","Femenino","13","Chaco","Explotación Sexual de N, N y A","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-11-20","06","22","22","22"
"2019-11-20","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","22","No","No","CABA","NS/NC","Masculino","44","CABA","No","No","1","Femenino","22","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-11-20","06","02","02","02"
"2019-11-20","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Misiones","Femenino","22","No","No","Misiones","Argentina","Femenino","NS/NC","Misiones","Sí","No","NS/NC","NS/NC","NS/NC","Misiones","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","2019-11-20","54","54","54","54"
"2019-11-20","Amplía y está relacionada con otras Denuncias","No","Sí","No es Víctima","Femenino","NS/NC","Neuquén","Femenino","30","NO","NO","Buenos Aires","NS/NC","Femenino","NS/NC","Buenos Aires","NO","NO","1","Femenino","18","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-19","58","06","06","06"
"2019-11-20","Ampliatoria","no","Sí","Víctima Indirecta","Femenino","ns/nc","NS/NC","FEMENINO","NS/NC","NO","NO","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","no","no","NS/NC","femenino","NS/NC","SANTA FE","Explotación Sexual","Línea 145","Internet","Protex ","2019-11-20","","","","82"
"2019-11-20","Nueva","No","Sí","No es Víctima","NS/NC","ns/nc","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","50","NS/NC","NS/NC","Río Negro","Explotación Laboral","Línea 145","NS/NC","Protex ","2019-11-20","","","","62"
"2019-11-20","Ampliatoria","no","Sí","Víctima Indirecta","Femenino","ns/nc","NS/NC","FEMENINO","NS/NC","NO","NO","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","no","no","NS/NC","femenino","NS/NC","SANTA FE","Explotación Sexual","Línea 145","Internet","Protex ","2019-11-20","","","","82"
"2019-11-20","Relacionada","No","No","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","NS/NC","Publicidad de Oferta Sexual","Correo Electrónico","NS/NC","Protex ","2019-11-20","","","",""
"2019-11-21","Nueva","No","No","Víctima Directa","Femenino","NS/NC","Corrientes","Femenino","NS/NC","No","No","Corrientes","Argentina","Masculino","NS/NC","Corrientes","No","No","2","Femenino","NS/NC","Corrientes","Explotación Sexual","Línea 145","Internet","Protex ","2019-11-21","18","18","18","18"
"2019-11-16","Relacionada","No","Sí","No es Víctima","Femenino","NS/NC","CABA","Femenino","22","No","No","NS/NC","NS/NC","Presencia de M y H","NS/NC","NS/NC","Sí","No","3","Femenino","22","CABA","Explotación Sexual","Línea 145","Boca en Boca","Area Legal del PNR (ya judicializada)","2019-11-16","02","","","02"
"2019-11-16","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Tierra del Fuego","Femenino","13","No","No","NS/NC","NS/NC","Presencia de M y H","NS/NC","Tierra del Fuego","Sí","Sí","10","Femenino","13","Tierra del Fuego","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-16","94","","94","94"
"2019-11-16","Nueva","No","No","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","6","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","NO","NO","1","Femenino","6","NS/NC","Pornografía Infantil","Línea 145","NS/NC","Protex ","2019-11-16","","","",""
"2019-11-17","Nueva","No","No","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","13","No","No","Buenos Aires","Argentina","Masculino","NS/NC","Buenos Aires","NO","NO","1","Femenino","13","Buenos Aires","Pornografía Infantil","Línea 145","NS/NC","Protex ","2019-11-17","","06","06","06"
"2019-11-18","Nueva","No","Sí","No es Víctima","Masculino","46","Río Negro","Femenino","19","No","No","Río Negro","Argentina","Femenino","NS/NC","NS/NC","Sí","No","NS/NC","Femenino","19","Río Negro","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-18","62","62","","62"
"2019-11-18","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Santa Fe","Femenino","9","No","No","Santa Fe","Argentina","Presencia de M y H","NS/NC","Santa Fe","No","No","1","Femenino","9","Santa Fe","Explotación Sexual de N, N y A","Línea 145","NS/NC","Comisaría","2019-11-18","82","82","82","82"
"2019-11-18","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Santa Cruz","Femenino","NS/NC","No","No","NS/NC","Argentina","Presencia de M y H","40","NS/NC","No","No","NS/NC","Femenino","19","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-11-18","78","","","02"
"2019-11-18","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Santa Fe","Femenino","17","No","No","NS/NC","Argentina","Masculino","NS/NC","Buenos Aires","No","No","NS/NC","Femenino","17","NS/NC","Posible captación","Línea 145","NS/NC","Protex ","2019-11-18","82","","06",""
"2019-11-18","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","Argentina","Masculino","NS/NC","NS/NC","No","No","1","Femenino","NS/NC","NS/NC","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-18","06","","",""
"2019-11-21","Nueva","No","No","No es Víctima","Masculino","NS/NC","Santa Cruz","Masculino","NS/NC","No","No","NS/NC","Argentina","Masculino","NS/NC","NS/NC","No","No","1","Masculino","NS/NC","Santa Cruz","Explotación Laboral","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-11-21","78","","","78"
"2019-11-21","Amplía y está relacionada con otras Denuncias","No","Sí","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Neuquén","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-21","","","","58"
"2019-11-21","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","Misiones","Femenino","22","No","No","Misiones","Argentina","Masculino","NS/NC","Misiones","Sí","No","1","Femenino","22","Misiones","Explotación Sexual","Correo Electrónico","NS/NC","Protex ","2019-11-21","54","54","54","54"
"2019-11-21","Nueva","No","No","Víctima Indirecta","Femenino","NS/NC","CABA","Femenino","17","No","No","CABA","Argentina","Masculino","NS/NC","CABA","No","No","2","Femenino","17","CABA","Desaparición de personas","Línea telefónica institucional","Otros modos de acercamiento a la Línea","Area Legal del PNR ","2019-11-21","02","02","02","02"
"2019-11-21","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","Misiones","Femenino","22","No","No","Misiones","Argentina","Masculino","NS/NC","Misiones","Sí","No","1","Femenino","22","Misiones","Explotación Sexual","Correo Electrónico","NS/NC","Protex ","2019-11-21","54","54","54","54"
"2019-11-21","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","CABA","Argentina","Masculino","NS/NC","NS/NC","No","No","1","Femenino","NS/NC","CABA","Oferta Laboral Engañosa","Línea 145","Boca en Boca","Area Legal para judicializar","2019-11-21","02","02","","02"
"2019-11-21","Ampliatoria","No","No","Víctima Indirecta","Femenino","NS/NC","CABA","Femenino","17","No","No","CABA","Argentina","Masculino","NS/NC","CABA","No","No","2","Femenino","17","CABA","Desaparición de personas","Línea telefónica institucional","Otros modos de acercamiento a la Línea","Area Legal del PNR ","2019-11-21","02","02","02","02"
"2019-11-21","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","caba","Femenino","22","No","No","CABA","Otros Países","Masculino","50","CABA","No","No","1","Femenino","20","CABA","Explotación Sexual","Línea 145","NS/NC","Policía Federal y Area Legal del PNR","2019-11-21","02","02","02","02"
"2019-11-21","Ampliatoria","No","No","Víctima Indirecta","Femenino","NS/NC","CABA","Femenino","17","No","No","CABA","Argentina","NS/NC","NS/NC","NS/NC","No","No","2","Femenino","17","CABA","Desaparición de personas","Línea 145","NS/NC","Area Legal para judicializar","2019-11-21","02","02","","02"
"2019-11-22","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","Misiones","Femenino","22","No","No","Misiones","Argentina","Masculino","NS/NC","Misiones","Sí","No","1","Femenino","22","Misiones","Explotación Sexual","Correo Electrónico","NS/NC","Protex ","2019-11-22","54","54","54","54"
"2019-11-22","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Santa Fe","Masculino","11","No","No","Santa Fe","Argentina","Femenino","40","Santa Fe","No","No","NS/NC","Masculino","11","Santa Fe","Venta de Niñxs y otros delitos","Línea 145","NS/NC","Protex ","2019-11-22","82","82","82","82"
"2019-11-22","Nueva","No","No","No es Víctima","Femenino","NS/NC","Santa Cruz","Masculino","61","No","No","Chubut","Argentina","Masculino","NS/NC","Chubut","No","No","1","Masculino","61","Santa Cruz","Explotación Laboral","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-11-22","78","26","26","78"
"2019-11-22","Nueva","No","No","No es Víctima","Masculino","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Países Limítrofes","Femenino","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","CABA","Explotación Laboral","Línea 145","NS/NC","Policía Federal y Area Legal del PNR","2019-11-22","","","","02"
"2019-11-22","Ampliatoria","No","No","Víctima Directa","Femenino","23","CABA","Femenino","23","No","No","NS/NC","Países Limítrofes","Femenino","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","CABA","Explotación Laboral","Línea 145","NS/NC","Policía Federal y Area Legal del PNR","2019-11-22","02","","","02"
"2019-11-22","Nueva","No","No","No es Víctima","Femenino","NS/NC","Río Negro","Femenino","19","No","Sí","Río Negro","Argentina","Masculino","49","Río Negro","No","No","1","Femenino","19","Río Negro","Reducción a la servidumbre o situaciones análogas","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-11-22","62","62","62","62"
"2019-11-22","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","NS/NC","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-22","","","",""
"2019-11-21","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","caba","Femenino","22","No","No","CABA","Otros Países","Masculino","50","CABA","No","No","1","Femenino","20","CABA","Explotación Sexual","Línea 145","NS/NC","Policía Federal y Area Legal del PNR","2019-11-21","02","02","02","02"
"2019-11-22","Nueva","No","Sí","Víctima Directa","Masculino","NS/NC","CABA","Presencia de M y H","18","no","no","NS/NC","Países Limítrofes","Masculino","NS/NC","Caba","No","NO","25","Presencia de M y H","18","CABA","Explotación Laboral","Línea 145","NS/NC","Area Legal para judicializar","2019-11-22","02","","02","02"
"2019-11-22","Relacionada","No","Sí","No es Víctima","Masculino","NS/NC","Misiones","Femenino","22","No","nO","Misiones","Argentina","Masculino","NS/NC","Misiones","Sí","No","1","Femenino","22","Misiones","Explotación Sexual","Correo Electrónico","NS/NC","Protex ","2019-11-22","54","54","54","54"
"2019-11-22","Nueva","no","No","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","Otros Países","Femenino","NS/NC","NS/NC","No","NO","5","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Policía Federal y Area Legal del PNR","2019-11-22","06","","","02"
"2019-11-23","Nueva","No","Sí","Víctima Directa","Masculino","NS/NC","Buenos Aires","Masculino","NS/NC","No","No","NS/NC","Países Limítrofes","Masculino","NS/NC","Buenos Aires","Sí","No","30","Presencia de M y H","1","Buenos Aires","Explotación Laboral","Línea 145","NS/NC","Gendarmería y Protex","2019-11-23","06","","06","06"
"2019-11-23","Ampliatoria","No","Sí","No es Víctima","Femenino","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","NS/NC","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-23","","","",""
"2019-11-24","Relacionada","No","Sí","Víctima Directa","Masculino","NS/NC","Buenos Aires","Presencia de M y H","NS/NC","No","No","NS/NC","Países Limítrofes","Masculino","NS/NC","Buenos Aires","Sí","No","25","Presencia de M y H","NS/NC","Buenos Aires","Explotación Laboral","Línea telefónica institucional","NS/NC","Protex ","2019-11-24","06","","06","06"
"2019-11-24","Relacionada","no","Sí","Víctima Directa","Masculino","NS/NC","Buenos Aires","Presencia de M y H","NS/NC","No","No","NS/NC","Países Limítrofes","Masculino","35","Buenos Aires","No","No","33","Presencia de M y H","NS/NC","Buenos Aires","Explotación Laboral","Línea 145","NS/NC","Protex ","2019-11-24","06","","06","06"
"2019-11-25","Relacionada","No","Sí","No es Víctima","Femenino","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","NS/NC","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-25","","","",""
"2019-11-25","Ampliatoria","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","Sí","Sí","NS/NC","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-25","06","","","06"
"2019-11-25","Nueva","No","No","No es Víctima","Femenino","NS/NC","Catamarca","Femenino","15","No","No","Catamarca","Argentina","NS/NC","NS/NC","Catamarca","No","No","1","Femenino","15","Catamarca","Posible captación","Línea 145","NS/NC","Protex ","2019-11-25","10","10","10","10"
"2019-11-25","Relacionada","No","Sí","No es Víctima","Masculino","NS/NC","Córdoba","Femenino","17","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","17","Córdoba","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","2019-11-25","14","","","14"
"2019-11-25","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Salta","Masculino","10","No","No","Salta","NS/NC","Femenino","NS/NC","NS/NC","No","No","2","Femenino","10","Salta","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","2019-11-25","66","66","","66"
"2019-11-26","Nueva","No","No","No es Víctima","Masculino","35","Corrientes","Masculino","14","No","No","Corrientes","Argentina","Masculino","NS/NC","Corrientes","No","No","5","Masculino","14","Corrientes","Explotación Laboral","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-11-26","18","18","18","18"
"2019-11-26","Nueva","No","No","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","NS/NC","No","No","Entre Ríos","NS/NC","NS/NC","NS/NC","Entre Ríos","No","No","NS/NC","Femenino","NS/NC","Entre Ríos","Explotación Sexual","Correo Electrónico","NS/NC","Protex ","2019-11-26","","30","30","30"
"2019-11-26","Relacionada","No","Sí","Víctima Directa","Femenino","NS/NC","CABA","Femenino","40","No","No","NS/NC","Argentina","Femenino","40","CABA","No","No","2","Femenino","40","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-11-26","02","","02","02"
"2019-11-26","Nueva","No","Sí","Víctima Indirecta","Femenino","NS/NC","Mendoza","Femenino","NS/NC","No","No","Mendoza","Argentina","NS/NC","NS/NC","Mendoza","No","No","NS/NC","Femenino","18","Mendoza","Oferta Laboral Engañosa","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-26","50","50","50","50"
"2019-11-26","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","15","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","15","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-26","06","","","06"
"2019-11-26","Relacionada","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Entre Ríos","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-26","06","","","30"
"2019-11-26","Nueva","No","No","No es Víctima","Masculino","ns/nc","La Pampa","Femenino","NS/NC","No","No","NS/NC","NS/NC","Masculino","36","La Pampa","Sí","no","NS/NC","Presencia de M y H","NS/NC","La Pampa","Explotación Sexual","Línea 145","TV","Protex ","2019-11-26","42","","42","42"
"2019-11-26","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Santa Fe","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Santa Fe","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-26","82","","","82"
"2019-11-26","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","Misiones","Femenino","22","No","No","Misiones","Argentina","Masculino","NS/NC","Misiones","Sí","No","1","Femenino","22","Misiones","Explotación Sexual","Correo Electrónico","NS/NC","Protex ","2019-11-26","54","54","54","54"
"2019-11-27","Relacionada","No","Sí","No es Víctima","Masculino","45","Santa Fe","Femenino","NS/NC","No","Sí","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Santa Fe","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-27","82","","","82"
"2019-11-27","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Santa Fe","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Santa Fe","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-27","82","","","82"
"2019-11-27","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","CABA","NO","NO","NS/NC","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-11-27","02","","02","02"
"2019-11-27","Nueva","no","No","Víctima Directa","Femenino","NS/NC","Entre Ríos","Femenino","39","No","No","Entre Ríos","Argentina","Masculino","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","Venta de Niñxs y otros delitos","Línea 145","NS/NC","Comisaría","2019-11-28","30","30","",""
"2019-11-27","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","Misiones","Femenino","22","No","No","Misiones","Argentina","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","Misiones","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-27","54","54","","54"
"2019-11-27","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","Buenos Aires","Argentina","Masculino","NS/NC","Buenos Aires","No","No","1","Femenino","NS/NC","Buenos Aires","Oferta Laboral Engañosa","Línea 145","NS/NC","Protex ","2019-11-27","06","06","06","06"
"2019-11-28","Nueva","No","No","No es Víctima","Femenino","NS/NC","Salta","Femenino","11","Sí","No","SALTA","Argentina","Masculino","20","Salta","No","No","1","Femenino","11","Salta","Posible captación","Correo Electrónico","NS/NC","Protex ","2019-11-28","66","66","66","66"
"2019-11-28","Nueva","No","Sí","Víctima Indirecta","Femenino","19","Buenos Aires","Femenino","19","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","Buenos Aires","No","No","NS/NC","Femenino","19","Buenos Aires","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-28","06","06","06","06"
"2019-11-28","Nueva","No","No","No es Víctima","Femenino","NS/NC","Chubut","Femenino","14","No","No","Río Negro","Argentina","Masculino","NS/NC","Río Negro","No","No","1","Femenino","14","Río Negro","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-28","26","62","62","62"
"2019-11-28","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","CABA","Femenino","12","No","No","CABA","Argentina","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","12","CABA","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Area Legal para judicializar","2019-11-28","02","02","","02"
"2019-11-28","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","CABA","Argentina","NS/NC","NS/NC","CABA","No","No","NS/NC","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-11-28","02","02","02","02"
"2019-11-28","Nueva","No","No","No es Víctima","Femenino","NS/NC","Chubut","Femenino","14","No","No","Río Negro","Argentina","Masculino","NS/NC","Río Negro","No","No","1","Femenino","14","Río Negro","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-28","26","62","62","62"
"2019-11-29","Ampliatoria","No","No","Víctima Directa","Femenino","27","CABA","Femenino","27","No","No","CABA","Argentina","Masculino","40","CABA","No","No","1","Femenino","27","CABA","Venta de Niñxs y otros delitos","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-11-29","02","02","02","02"
"2019-11-29","Relacionada","No","Sí","Víctima Directa","Femenino","NS/NC","CABA","Femenino","23","No","No","NS/NC","Otros Países","Masculino","NS/NC","NS/NC","Sí","No","10","Femenino","23","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-11-29","02","","","02"
"2019-11-29","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","15","No","No","Buenos Aires","Argentina","Masculino","NS/NC","Buenos Aires","No","No","4","Femenino","15","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Policía Federal y Protex","2019-11-29","06","06","06","06"
"2019-11-29","Nueva","no","No","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","20","No","No","NS/NC","Países Limítrofes","Masculino","NS/NC","Buenos Aires","No","No","1","Femenino","20","NS/NC","Explotación Sexual","Línea 145","NS/NC","Policía Federal y Protex","2019-11-29","06","","06",""
"2019-11-29","Relacionada","No","No","No es Víctima","Femenino","NS/NC","Chubut","Femenino","14","No","No","Río Negro","Argentina","Masculino","NS/NC","Río Negro","No","No","1","Femenino","14","Río Negro","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-29","26","62","62","62"
"2019-11-29","Relacionada","No","No","No es Víctima","Femenino","NS/NC","Chubut","Femenino","14","No","No","Río Negro","Argentina","Masculino","NS/NC","Río Negro","No","No","1","Femenino","14","Río Negro","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-29","26","62","62","62"
"2019-11-29","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","30","No","No","NS/NC","Argentina","NS/NC","30","Buenos Aires","no","no","4","Femenino","30","Buenos Aires","Posible captación","Línea 145","NS/NC","Protex ","2019-12-03","06","","06","06"
"2019-11-29","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Misiones","Femenino","16","No","No","NS/NC","NS/NC","NS/NC","NS/NC","Misiones","No","No","NS/NC","Femenino","18","Misiones","Explotación Sexual","Línea 145","Internet","Gendarmería y Protex","2019-11-29","54","","54","54"
"2019-11-29","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Córdoba","Femenino","12","No","No","Córdoba","Argentina","Masculino","NS/NC","Córdoba","No","No","NS/NC","Femenino","10","Córdoba","Traslado de personas","Línea 145","NS/NC","Gendarmería y Protex","2019-11-29","14","14","14","14"
"2019-11-30","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","Chubut","Femenino","14","No","No","Río Negro","Argentina","Masculino","NS/NC","Río Negro","No","No","1","Femenino","14","Río Negro","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-30","26","62","62","62"
"2019-11-30","Nueva","No","No","No es Víctima","Masculino","51","Buenos Aires","Femenino","18","No","No","Buenos Aires","NS/NC","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","18","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-11-30","06","06","","06"
"2019-11-30","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","NS/NC","6","No","No","NS/NC","Países Limítrofes","Masculino","31","NS/NC","No","No","NS/NC","NS/NC","6","Buenos Aires","Explotación Laboral de N, N y A","Línea 145","NS/NC","Protex ","2019-11-30","06","","","06"
